Company,Valuation ($B),Date Joined,Country,Industry,Select Investors
Freshworks,$3.50,7/31/2018,United States,Internet software & services,"Accel, Tiger Global Management, capitalG"
Tuya Smart,$1.44,7/24/2018,China,Internet software & services,"New Enterprise Associates, Quadrille Capital, Global Bridge Capital"
Unisound,$1.19,7/19/2018,China,Artificial intelligence,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
About You,$1,7/19/2018,Germany,E-commerce & direct-to-consumer,"German Media Pool, Seven Venture Capital"
Wacai,$1,7/18/2018,China,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
Zuoyebang,$3,7/18/2018,China,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Greensill,$3.50,7/16/2018,United Kingdom,Fintech,"SoftBank Group, General Atlantic"
Pat McGrath Labs,$1,7/13/2018,United States,Consumer & retail,"One Luxury Group, Eurazeo"
Butterfly Network,$1.25,7/13/2018,United States,Artificial intelligence,"Bill & Melinda Gates Foundation, Aeris Capital,"
Aihuishou,$2.50,7/12/2018,China,E-commerce & direct-to-consumer,"Morningside Ventures, JD.com, Tiantu Capital"
Pony.ai,$3,7/11/2018,United States,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures"
MediaMath,$1,7/10/2018,United States,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund"
Toast,$4.90,7/10/2018,United States,Fintech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Bitmain Technologies,$12,7/6/2018,China,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital"
LinkDoc Technology,$1,7/5/2018,China,Health,"China Investment Corporation, New Enterprise Associates"
Intercom,$1.29,7/3/2018,United States,Internet software & services,"FirstMark Capital, Tiger Global Management"
Automation Anywhere,$6.80,7/2/2018,United States,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Celonis,$2.50,6/26/2018,Germany,Data management & analytics,"Accel, 83North"
Swiggy,$3.60,6/21/2018,India,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners"
China Cloud,$1,6/11/2018,China,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
Cohesity,$2.50,6/11/2018,United States,Data management & analytics,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Gett,$1.40,6/7/2018,Israel,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures"
OutSystems,$1,6/5/2018,Portugal,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity"
Dataminr,$1.60,6/4/2018,United States,Artificial intelligence,"Venrock, Institutional Venture Partners, Goldman Sachs"
Hello TransTech,$5,06/01/2018,China,Auto & transportation,"Ant Financial Services Group, GGV Capital"
Tradeshift,$1.10,5/30/2018,United States,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures"
Bolt,$1.90,05/30/2018,Estonia,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments"
JOLLY Information Technology,$1,05/29/2018,China,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China"
Bird Rides,$2.78,05/29/2018,United States,Auto & transportation,"Tusk Ventures, Craft Ventures, Sequoia Capital"
